id,age,education,education_coarse,condition,extr,extr_prctl,extr_type,extr_pro,extr_pro_c,ATI,ATI_prctl,ATI_type,ATI_pro
4tbCPnIszGaP-w4ZqV0b1nuQ4FIG6IIGYVsnGxYGh-Ea_dlcDZ2iZCPxwMWUs54q,28,Undergraduate degree (BA/BSc/other),Undergraduate degree,inoculation,3.625,0.6421196945326565,extr,0.1421196945326565,-0.1078803054673435,3.2222222222222223,0.5610952969881974,affine,0.06109529698819738
4XC5_debUqvTGq5BgdEFG9His1X-pnJ8qRzIGbo9DauyHFokum8dvriA3WLHiLQc,29,Graduate degree (MA/MSc/MPhil/other),Graduate/doctorate degree,control,2,0.0781563582094391,intr,0.4218436417905609,0.17184364179056089,4,0.8550040836957316,affine,0.35500408369573155
51v82N1QBTr6_T9ZDPPuchXKif8YMbkj3nJjST-0O-iSU3bULEJSXSbw4EKeHaom,22,Secondary school/GCSE,Secondary school/GCSE or less,control,1.5,0.023990984296423032,intr,0.47600901570357695,0.22600901570357695,3.3333333333333335,0.6113907830650629,affine,0.11139078306506289
56kdwJebTbZNGolnaUx0a8Z070CX7tWaEQsRpDe6tZp1nbQr4GfG3a-NtY8ul1Ko,21,College/A levels,College,inoculation,3,0.390591475433575,intr,0.10940852456642502,-0.14059147543357498,3.3333333333333335,0.6113907830650629,affine,0.11139078306506289
5Nut2taT1D09wScL4R4vyBQ9wTEIOPlIZaAVAlbzFBUWeRkrcwvRZ3cN6e7dvOsQ,29,College/A levels,College,control,3.125,0.4280587217427359,intr,0.0719412782572641,-0.1780587217427359,3,0.45832630776244876,non-affine,0.04167369223755124
5RCMAGQbD_4EPW0NSkB6gbHhrdgujMZZkKBtH4sga9vwu9z8oE1r1N0bF456ZszW,36,Graduate degree (MA/MSc/MPhil/other),Graduate/doctorate degree,inoculation,3.875,0.7573495477763714,extr,0.2573495477763714,0.007349547776371423,2.888888888888889,0.4075506654302435,non-affine,0.09244933456975651
5RiBKRV0VjZMGwHnayDQwJqdUVveLsfuKuVuy6pTHGJcmHBMngahBHPLj46QSbeK,23,Undergraduate degree (BA/BSc/other),Undergraduate degree,inoculation,4.375,0.8864504353033805,extr,0.3864504353033805,0.13645043530338052,4.222222222222222,0.9060031443079403,affine,0.40600314430794027
5sd0npD7MOYWc3sX-Tekr7WJ_dZGVviCzSw24ZqMunu3k7bAXIZdXjIiTtmOjclN,35,Secondary school/GCSE,Secondary school/GCSE or less,inoculation,3.25,0.48246972090923756,intr,0.017530279090762435,-0.23246972090923756,3.5555555555555554,0.7058646369425364,affine,0.20586463694253643
66n8fLZMY6CY2cP8JnyywMywsEd4UdoYdSAXURYgm26FtZXA2tqbffJRMWOVh08E,27,Undergraduate degree (BA/BSc/other),Undergraduate degree,control,4.625,0.9302990521624593,extr,0.43029905216245934,0.18029905216245934,3.2222222222222223,0.5610952969881974,affine,0.06109529698819738
6CJ45VAdv-5G09W_k1BfNc9SApP_LSwr-J9BLLlSYJAV3FRNXG1yyMSHggKdIYA4,40,Undergraduate degree (BA/BSc/other),Undergraduate degree,control,3.75,0.6934375706425553,extr,0.1934375706425553,-0.05656242935744471,1.6666666666666667,0.04895831793880404,non-affine,0.45104168206119594
6LwtM-6q56YyKs8b8Jk8HRbxy0i43irVjg4kfMgYc973QduchQU7RyNbEqZVhwE_,37,Graduate degree (MA/MSc/MPhil/other),Graduate/doctorate degree,control,2.625,0.24502874409314518,intr,0.2549712559068548,0.004971255906854821,2.4444444444444446,0.22643286628317424,non-affine,0.27356713371682573
6mf6ACt-Q2KR6Cf65M9NbUtR5a1DdBkyL-d7xpsXvOrX53VL3_prJGTjfDkp8R_B,37,College/A levels,College,control,3.625,0.6542200793245094,extr,0.15422007932450943,-0.09577992067549057,3.6666666666666665,0.7487440315963316,affine,0.24874403159633163
7X48YyATC94YxDI3Nhyuj4Tw5ne_MZusUaAwW4EaMhT4IakgRVXee32eRfcsYcgO,38,Doctorate degree (PhD/MD/other),Graduate/doctorate degree,control,2,0.08586490525735588,intr,0.4141350947426441,0.1641350947426441,4.555555555555555,0.9558220062871597,affine,0.45582200628715974
7zstzAWnyuZpAG4Wn2lRL7MAQirssL9siyFworQNbeebaMVs_vZVbwRTjHCAauuI,23,Undergraduate degree (BA/BSc/other),Undergraduate degree,inoculation,2.625,0.22409770974953258,intr,0.2759022902504674,0.02590229025046742,3.111111111111111,0.5097921732922717,affine,0.009792173292271666
8l82lJupo6ksxJ2Tcm3sTP1q_t3WKRdlvBsk_TPU_23mp7ijGLEY2G609Tt7y05v,28,Graduate degree (MA/MSc/MPhil/other),Graduate/doctorate degree,inoculation,3,0.37629830090776895,intr,0.12370169909223105,-0.12629830090776895,3.7777777777777777,0.7880697379814923,affine,0.28806973798149227
8Nz6h3fLfBoA2pznYdzRjS6zK4TRo0Q-4znstwTzttkJr0hrFTFlKp3m6hxddTeE,34,Graduate degree (MA/MSc/MPhil/other),Graduate/doctorate degree,control,2.875,0.32771318855333625,intr,0.17228681144666375,-0.07771318855333625,3.888888888888889,0.8235400564360852,affine,0.3235400564360852
8pSDGoBUgcLADFW_2uK1bSkmcvWWx4NfXOcObjK_sZtLLQvbBeuLHC7NKRHlL0Oa,29,Undergraduate degree (BA/BSc/other),Undergraduate degree,inoculation,2.75,0.2764545386971833,intr,0.22354546130281672,-0.026454538697183283,3.5555555555555554,0.7058646369425364,affine,0.20586463694253643
93ji-sD3DZdngG3Z8J4IDXa10j_Sw-rqEYaN_YLiz-oF0fTyI6ioj1RrG7Jf9fzU,30,Undergraduate degree (BA/BSc/other),Undergraduate degree,inoculation,4,0.7881446014166034,extr,0.28814460141660336,0.03814460141660336,4.333333333333333,0.9258744294380646,affine,0.42587442943806464
97VuHCHHq6GbNdzdhXMRmKNqlElk9Y1tL82D4CIAZcePyYTBS1bFiOpC0MCqHwiV,31,Undergraduate degree (BA/BSc/other),Undergraduate degree,inoculation,3.5,0.5835997148964526,extr,0.08359971489645257,-0.16640028510354743,3.5555555555555554,0.7058646369425364,affine,0.20586463694253643
9M2XRZoGZQsFKnELk6yCHzuC35RxVl1NeBU8SREEb5EEIqUb1mQw3jgypimQw1eH,39,College/A levels,College,inoculation,3.5,0.6166534800416775,extr,0.11665348004167753,-0.13334651995832247,3.4444444444444446,0.6598833175440008,affine,0.15988331754400076
9TuHwV67vviK50NIfAtxe3sBYOfL3TGoRvPloKPQ2ncV786Zb4nqiyAMTBJ6kofa,28,Graduate degree (MA/MSc/MPhil/other),Graduate/doctorate degree,control,3.875,0.7375692794545223,extr,0.23756927945452233,-0.01243072054547767,4.111111111111111,0.8824529363865857,affine,0.38245293638658573
a4FUGQ1IWusQsGurtm2TxqCzXWtswy-1DJ9qLGnMjd13fEWGWk05EcAakUicbHqt,38,Undergraduate degree (BA/BSc/other),Undergraduate degree,inoculation,4.875,0.9662085451766036,extr,0.4662085451766036,0.2162085451766036,2.2222222222222223,0.15647678378182311,non-affine,0.3435232162181769
AC3a1J3HgyKL1RZKb6i0uIQs2ztUs8yMUYT0di28o6TYBwN1qxut2QsWpxE72NWx,27,Undergraduate degree (BA/BSc/other),Undergraduate degree,control,2.75,0.2801427206290089,intr,0.2198572793709911,-0.030142720629008912,3.4444444444444446,0.6598833175440008,affine,0.15988331754400076
AdeWsT5WrkVKhrNG1XmRsImf2JiY4zoJAl3kK8c54qFMVQjMUTzhW4yskQPf3vhB,22,College/A levels,College,inoculation,3,0.3850917680096093,intr,0.11490823199039069,-0.13509176800960931,2,0.10249866995949809,non-affine,0.3975013300405019
