id,stimuli,dec,conf,dec_fct,stimuli_target,condition,extr,extr_prctl,extr_type,extr_pro,extr_pro_c,ATI,ATI_prctl,ATI_type,ATI_pro,stimuli_is_targeted,stimuli_is_targeted_fct,dec_correct,conf_full_range,conf_in_correct
_j45c5ZdgNVmbpfJGkDXGVbtFoOVJeBkzVOoqcpjvTkuG9YF0E2U5r7wSqicWbQS,9,0,4,0,intr,control,3.125,0.41945156605818434,intr,0.08054843394181566,-0.16945156605818434,1.8888888888888888,0.08126080329148719,non-affine,0.4187391967085128,TRUE,1,0,-4,2
_j45c5ZdgNVmbpfJGkDXGVbtFoOVJeBkzVOoqcpjvTkuG9YF0E2U5r7wSqicWbQS,10,0,5,0,extr,control,3.125,0.41945156605818434,intr,0.08054843394181566,-0.16945156605818434,1.8888888888888888,0.08126080329148719,non-affine,0.4187391967085128,FALSE,0,1,-5,1
_j45c5ZdgNVmbpfJGkDXGVbtFoOVJeBkzVOoqcpjvTkuG9YF0E2U5r7wSqicWbQS,6,0,5,0,extr,control,3.125,0.41945156605818434,intr,0.08054843394181566,-0.16945156605818434,1.8888888888888888,0.08126080329148719,non-affine,0.4187391967085128,FALSE,0,1,-5,1
_j45c5ZdgNVmbpfJGkDXGVbtFoOVJeBkzVOoqcpjvTkuG9YF0E2U5r7wSqicWbQS,5,0,5,0,intr,control,3.125,0.41945156605818434,intr,0.08054843394181566,-0.16945156605818434,1.8888888888888888,0.08126080329148719,non-affine,0.4187391967085128,TRUE,1,0,-5,1
_j45c5ZdgNVmbpfJGkDXGVbtFoOVJeBkzVOoqcpjvTkuG9YF0E2U5r7wSqicWbQS,7,0,5,0,intr,control,3.125,0.41945156605818434,intr,0.08054843394181566,-0.16945156605818434,1.8888888888888888,0.08126080329148719,non-affine,0.4187391967085128,TRUE,1,0,-5,1
_j45c5ZdgNVmbpfJGkDXGVbtFoOVJeBkzVOoqcpjvTkuG9YF0E2U5r7wSqicWbQS,3,0,4,0,intr,control,3.125,0.41945156605818434,intr,0.08054843394181566,-0.16945156605818434,1.8888888888888888,0.08126080329148719,non-affine,0.4187391967085128,TRUE,1,0,-4,2
_j45c5ZdgNVmbpfJGkDXGVbtFoOVJeBkzVOoqcpjvTkuG9YF0E2U5r7wSqicWbQS,4,0,5,0,extr,control,3.125,0.41945156605818434,intr,0.08054843394181566,-0.16945156605818434,1.8888888888888888,0.08126080329148719,non-affine,0.4187391967085128,FALSE,0,1,-5,1
_j45c5ZdgNVmbpfJGkDXGVbtFoOVJeBkzVOoqcpjvTkuG9YF0E2U5r7wSqicWbQS,2,0,5,0,extr,control,3.125,0.41945156605818434,intr,0.08054843394181566,-0.16945156605818434,1.8888888888888888,0.08126080329148719,non-affine,0.4187391967085128,FALSE,0,1,-5,1
_j45c5ZdgNVmbpfJGkDXGVbtFoOVJeBkzVOoqcpjvTkuG9YF0E2U5r7wSqicWbQS,1,0,4,0,intr,control,3.125,0.41945156605818434,intr,0.08054843394181566,-0.16945156605818434,1.8888888888888888,0.08126080329148719,non-affine,0.4187391967085128,TRUE,1,0,-4,2
_j45c5ZdgNVmbpfJGkDXGVbtFoOVJeBkzVOoqcpjvTkuG9YF0E2U5r7wSqicWbQS,8,0,5,0,extr,control,3.125,0.41945156605818434,intr,0.08054843394181566,-0.16945156605818434,1.8888888888888888,0.08126080329148719,non-affine,0.4187391967085128,FALSE,0,1,-5,1
